School,Monthly_Opex_IDR,Year1_Opex_IDR,Year1_Capex_IDR,Year1_Total_IDR,Year2_Opex_IDR,Year2_Capex_IDR,Year2_Total_IDR
Kiwi Kids,1515000,18180000,7070000,25250000,18180000,0,18180000
Unity School,2103333,25240000,18400000,43640000,25240000,0,25240000
Akhyar IIS,1140000,13680000,21550000,35230000,13680000,0,13680000
Nassa School,2555917,30671004,25138000,55809004,30671004,0,30671004
Kidea Bekasi Timur,2692500,32310000,350000,32660000,32310000,0,32310000
Madina Islamic School Galaxy,2583333,31000000,15800000,46800000,31000000,0,31000000
Kinderfield Bekasi,3415000,40980004,20000000,60980004,40980004,0,40980004
HighScope Bekasi,3476667,41720004,11500000,53220004,41720004,0,41720004
Almacita School,2880000,34560000,25700000,60260000,34560000,0,34560000
Salsabila Islamic School,1905000,22860000,22105000,44965000,22860000,0,22860000
Little Key,2906667,34880000,12300000,47180000,34880000,0,34880000
Sekolah Victory Plus (SVP),4500000,54000000,35300000,89300000,54000000,0,54000000
Global Prestasi School,4395000,52740000,39600000,92340000,52740000,0,52740000
Al-Azhar 11 Kemang,3266667,39200000,29415000,68615000,39200000,0,39200000
Sekolah Alam Bekasi,2350000,28200000,11650000,39850000,28200000,0,28200000
Embun Pagi Islamic School,4238333,50860000,21800000,72660000,50860000,0,50860000
Islamic Green School,3070833,36850000,10450000,47300000,36850000,0,36850000
